Date,Ticker,Volume
2022-03-24,PBR,22399200
2022-03-25,PBR,20020200
2022-03-28,PBR,35117600
2022-03-29,PBR,40652100
2022-03-30,PBR,29211400
2022-03-31,PBR,30413700
2022-01-03,GOLD,12996700
2022-01-04,GOLD,14194500
2022-01-05,GOLD,20273400
2022-01-06,GOLD,21071800
2022-01-07,GOLD,12787600
2022-01-10,GOLD,19743700
2022-01-11,GOLD,13733200
2022-01-12,GOLD,19607800
2022-01-13,GOLD,11928800
2022-01-14,GOLD,12857500
2022-01-18,GOLD,13184400
2022-01-19,GOLD,36169200
2022-01-20,GOLD,20414400
2022-01-21,GOLD,21714100
2022-01-24,GOLD,23935400
2022-01-25,GOLD,16843300
2022-01-26,GOLD,24282900
2022-01-27,GOLD,20552100
2022-01-28,GOLD,19097600
2022-01-31,GOLD,18321800
2022-02-01,GOLD,14344100
2022-02-02,GOLD,16669100
2022-02-03,GOLD,12239400
2022-02-04,GOLD,14157400
2022-02-07,GOLD,13218300
2022-02-08,GOLD,13731900
2022-02-09,GOLD,11394100
2022-02-10,GOLD,15490800
2022-02-11,GOLD,32059700
2022-02-14,GOLD,38007900
2022-02-15,GOLD,22290700
2022-02-16,GOLD,41704400
2022-02-17,GOLD,46712400
2022-02-18,GOLD,28735700
2022-02-22,GOLD,29821500
2022-02-23,GOLD,23816500
2022-02-24,GOLD,53409900
2022-02-25,GOLD,22502000
2022-02-28,GOLD,23866200
2022-03-01,GOLD,32082900
2022-03-02,GOLD,23287400
2022-03-03,GOLD,23936800
2022-03-04,GOLD,35834200
2022-03-07,GOLD,39144500
2022-03-08,GOLD,67227900
2022-03-09,GOLD,39175000
2022-03-10,GOLD,27099100
2022-03-11,GOLD,19901000
2022-03-14,GOLD,23139500
2022-03-15,GOLD,26227800
2022-03-16,GOLD,23974800
2022-03-17,GOLD,22857500
2022-03-18,GOLD,36452000
2022-03-21,GOLD,21346900
2022-03-22,GOLD,16305700
2022-03-23,GOLD,17005900
2022-03-24,GOLD,17732900
2022-03-25,GOLD,16977500
2022-03-28,GOLD,18905100
2022-03-29,GOLD,21536400
2022-03-30,GOLD,13921600
2022-03-31,GOLD,11671400
2022-01-03,GFI,3556500
2022-01-04,GFI,7168800
2022-01-05,GFI,8300300
2022-01-06,GFI,5870100
2022-01-07,GFI,4958300
2022-01-10,GFI,4071000
2022-01-11,GFI,4362000
2022-01-12,GFI,5888800
2022-01-13,GFI,3780800
2022-01-14,GFI,2906500
2022-01-18,GFI,10920400
2022-01-19,GFI,20099700
2022-01-20,GFI,8763200
2022-01-21,GFI,9721500
2022-01-24,GFI,10615500
2022-01-25,GFI,6500300
2022-01-26,GFI,10787600
2022-01-27,GFI,12800800
2022-01-28,GFI,9637000
2022-01-31,GFI,10976600
2022-02-01,GFI,9989700
2022-02-02,GFI,15086400
2022-02-03,GFI,7210400
2022-02-04,GFI,5266400
2022-02-07,GFI,6100500
2022-02-08,GFI,6124700
2022-02-09,GFI,6633800
2022-02-10,GFI,8590600
2022-02-11,GFI,7155900
2022-02-14,GFI,14519100
2022-02-15,GFI,10187000
2022-02-16,GFI,10923100
2022-02-17,GFI,15606800
2022-02-18,GFI,14931600
2022-02-22,GFI,11431200
2022-02-23,GFI,12104600
2022-02-24,GFI,13954700
2022-02-25,GFI,9659600
2022-02-28,GFI,17013100
2022-03-01,GFI,14991000
2022-03-02,GFI,11934600
2022-03-03,GFI,10118400
2022-03-04,GFI,18416500
2022-03-07,GFI,17250800
2022-03-08,GFI,18708100
2022-03-09,GFI,13562200
2022-03-10,GFI,10103400
2022-03-11,GFI,9229300
2022-03-14,GFI,10711300
2022-03-15,GFI,9438200
2022-03-16,GFI,7404900
2022-03-17,GFI,12555800
2022-03-18,GFI,12632100
2022-03-21,GFI,6774100
2022-03-22,GFI,6755600
2022-03-23,GFI,8171700
2022-03-24,GFI,5998200
2022-03-25,GFI,5286200
2022-03-28,GFI,4920900
2022-03-29,GFI,6632300
2022-03-30,GFI,4395700
2022-03-31,GFI,6153100
2022-01-03,MON,182900
2022-01-04,MON,0
2022-01-05,MON,227900
2022-01-06,MON,19200
2022-01-07,MON,500
2022-01-10,MON,6900
2022-01-11,MON,0
2022-01-12,MON,0
2022-01-13,MON,400
2022-01-14,MON,23300
2022-01-18,MON,1600
2022-01-19,MON,0
2022-01-20,MON,1800
2022-01-21,MON,4300
2022-01-24,MON,25900
2022-01-25,MON,12900
2022-01-26,MON,1000
2022-01-27,MON,3200
2022-01-28,MON,1500
2022-01-31,MON,700
2022-02-01,MON,21400
2022-02-02,MON,400
2022-02-03,MON,500
2022-02-04,MON,100
2022-02-07,MON,3400
2022-02-08,MON,200
2022-02-09,MON,0
2022-02-10,MON,900
2022-02-11,MON,31500
2022-02-14,MON,4400
2022-02-15,MON,0
2022-02-16,MON,100
2022-02-17,MON,500
2022-02-18,MON,15700
2022-02-22,MON,5600
2022-02-23,MON,500100
2022-02-24,MON,2100
2022-02-25,MON,0
2022-02-28,MON,15000
2022-03-01,MON,2000
2022-03-02,MON,12200
2022-03-03,MON,14400
2022-03-04,MON,2700
2022-03-07,MON,500
2022-03-08,MON,0
2022-03-09,MON,2000
2022-03-10,MON,1100
2022-03-11,MON,1900
2022-03-14,MON,45500
2022-03-15,MON,0
2022-03-16,MON,2200
2022-03-17,MON,800
2022-03-18,MON,11300
2022-03-21,MON,14500
2022-03-22,MON,0
2022-03-23,MON,22600
2022-03-24,MON,4000
2022-03-25,MON,300
2022-03-28,MON,500
2022-03-29,MON,100
2022-03-30,MON,21100
2022-03-31,MON,28000
2022-01-03,MOS,3798400
2022-01-04,MOS,4046400
2022-01-05,MOS,4815700
2022-01-06,MOS,3970000
2022-01-07,MOS,3934600
2022-01-10,MOS,4832000
2022-01-11,MOS,5029800
2022-01-12,MOS,8511800
2022-01-13,MOS,4313700
2022-01-14,MOS,6419400
2022-01-18,MOS,5102100
2022-01-19,MOS,4603200
2022-01-20,MOS,4546000
2022-01-21,MOS,5003000
2022-01-24,MOS,7804700
2022-01-25,MOS,5242700
2022-01-26,MOS,6066000
2022-01-27,MOS,4776900
2022-01-28,MOS,3942000
2022-01-31,MOS,4131100
2022-02-01,MOS,10038200
2022-02-02,MOS,7441200
2022-02-03,MOS,5825000
2022-02-04,MOS,6820600
2022-02-07,MOS,6761400
2022-02-08,MOS,7347900
2022-02-09,MOS,7368200
2022-02-10,MOS,7677500
2022-02-11,MOS,9591400
2022-02-14,MOS,7984700
2022-02-15,MOS,6181000
2022-02-16,MOS,5582000
2022-02-17,MOS,5765200
2022-02-18,MOS,4823100
2022-02-22,MOS,7738900
2022-02-23,MOS,9786700
2022-02-24,MOS,10706300
2022-02-25,MOS,12150300
2022-02-28,MOS,15683200
2022-03-01,MOS,11324100
2022-03-02,MOS,12305100
2022-03-03,MOS,13376500
2022-03-04,MOS,17991000
2022-03-07,MOS,24638900
2022-03-08,MOS,17925200
2022-03-09,MOS,15112000
2022-03-10,MOS,18388500
2022-03-11,MOS,13855200
2022-03-14,MOS,11773900
2022-03-15,MOS,10955100
2022-03-16,MOS,13659200
2022-03-17,MOS,11637100
2022-03-18,MOS,16045600
2022-03-21,MOS,14430100
2022-03-22,MOS,10715400
2022-03-23,MOS,8854500
2022-03-24,MOS,10348100
2022-03-25,MOS,8666300
2022-03-28,MOS,9185200
2022-03-29,MOS,14888900
2022-03-30,MOS,6604400
2022-03-31,MOS,7969900
2022-01-03,NTR,2122200
2022-01-04,NTR,6511000
2022-01-05,NTR,3530400
2022-01-06,NTR,3110900
2022-01-07,NTR,2041500
2022-01-10,NTR,3510400
2022-01-11,NTR,2533200
2022-01-12,NTR,5619300
2022-01-13,NTR,2147400
2022-01-14,NTR,2436600
2022-01-18,NTR,5750000
2022-01-19,NTR,3120600
2022-01-20,NTR,2104100
2022-01-21,NTR,4092200
2022-01-24,NTR,3780500
2022-01-25,NTR,3331200
2022-01-26,NTR,2264600
2022-01-27,NTR,1467500
2022-01-28,NTR,3075500
2022-01-31,NTR,2004100
2022-02-01,NTR,2847500
2022-02-02,NTR,2236900
2022-02-03,NTR,1403800
2022-02-04,NTR,2028600
2022-02-07,NTR,2837100
2022-02-08,NTR,3448000
2022-02-09,NTR,2384100
2022-02-10,NTR,2340200
2022-02-11,NTR,4679300
2022-02-14,NTR,3008100
2022-02-15,NTR,2835600
2022-02-16,NTR,2885500
2022-02-17,NTR,4359300
2022-02-18,NTR,3007100
2022-02-22,NTR,3531500
2022-02-23,NTR,1564600
2022-02-24,NTR,5500200
2022-02-25,NTR,6068000
2022-02-28,NTR,8293600
2022-03-01,NTR,4868800
2022-03-02,NTR,6768700
2022-03-03,NTR,5205400
2022-03-04,NTR,8016400
2022-03-07,NTR,11337400
2022-03-08,NTR,9054300
2022-03-09,NTR,7279300
2022-03-10,NTR,8450400
2022-03-11,NTR,4644100
2022-03-14,NTR,5642400
2022-03-15,NTR,4037500
2022-03-16,NTR,6189000
2022-03-17,NTR,6368400
2022-03-18,NTR,3307700
2022-03-21,NTR,4625200
2022-03-22,NTR,4310500
2022-03-23,NTR,2698900
2022-03-24,NTR,2720800
2022-03-25,NTR,2129600
2022-03-28,NTR,4243800
2022-03-29,NTR,6979000
2022-03-30,NTR,2964100
2022-03-31,NTR,3685500
2022-01-03,GOLD,12996700
2022-01-04,GOLD,14194500
2022-01-05,GOLD,20273400
2022-01-06,GOLD,21071800
2022-01-07,GOLD,12787600
2022-01-10,GOLD,19743700
2022-01-11,GOLD,13733200
2022-01-12,GOLD,19607800
2022-01-13,GOLD,11928800
2022-01-14,GOLD,12857500
2022-01-18,GOLD,13184400
2022-01-19,GOLD,36169200
2022-01-20,GOLD,20414400
2022-01-21,GOLD,21714100
2022-01-24,GOLD,23935400
2022-01-25,GOLD,16843300
2022-01-26,GOLD,24282900
2022-01-27,GOLD,20552100
2022-01-28,GOLD,19097600
2022-01-31,GOLD,18321800
2022-02-01,GOLD,14344100
2022-02-02,GOLD,16669100
2022-02-03,GOLD,12239400
2022-02-04,GOLD,14157400
2022-02-07,GOLD,13218300
2022-02-08,GOLD,13731900
2022-02-09,GOLD,11394100
2022-02-10,GOLD,15490800
2022-02-11,GOLD,32059700
2022-02-14,GOLD,38007900
2022-02-15,GOLD,22290700
2022-02-16,GOLD,41704400
2022-02-17,GOLD,46712400
2022-02-18,GOLD,28735700
2022-02-22,GOLD,29821500
2022-02-23,GOLD,23816500
2022-02-24,GOLD,53409900
2022-02-25,GOLD,22502000
2022-02-28,GOLD,23866200
2022-03-01,GOLD,32082900
2022-03-02,GOLD,23287400
2022-03-03,GOLD,23936800
2022-03-04,GOLD,35834200
2022-03-07,GOLD,39144500
2022-03-08,GOLD,67227900
2022-03-09,GOLD,39175000
2022-03-10,GOLD,27099100
2022-03-11,GOLD,19901000
2022-03-14,GOLD,23139500
2022-03-15,GOLD,26227800
2022-03-16,GOLD,23974800
2022-03-17,GOLD,22857500
2022-03-18,GOLD,36452000
2022-03-21,GOLD,21346900
2022-03-22,GOLD,16305700
2022-03-23,GOLD,17005900
2022-03-24,GOLD,17732900
2022-03-25,GOLD,16977500
2022-03-28,GOLD,18905100
2022-03-29,GOLD,21536400
2022-03-30,GOLD,13921600
2022-03-31,GOLD,11671400
2022-01-03,MON,182900
2022-01-04,MON,0
2022-01-05,MON,227900
2022-01-06,MON,19200
2022-01-07,MON,500
2022-01-10,MON,6900
2022-01-11,MON,0
2022-01-12,MON,0
2022-01-13,MON,400
2022-01-14,MON,23300
2022-01-18,MON,1600
2022-01-19,MON,0
2022-01-20,MON,1800
2022-01-21,MON,4300
2022-01-24,MON,25900
2022-01-25,MON,12900
2022-01-26,MON,1000
2022-01-27,MON,3200
2022-01-28,MON,1500
2022-01-31,MON,700
2022-02-01,MON,21400
2022-02-02,MON,400
2022-02-03,MON,500
2022-02-04,MON,100
2022-02-07,MON,3400
2022-02-08,MON,200
2022-02-09,MON,0
2022-02-10,MON,900
2022-02-11,MON,31500
2022-02-14,MON,4400
2022-02-15,MON,0
2022-02-16,MON,100
2022-02-17,MON,500
2022-02-18,MON,15700
2022-02-22,MON,5600
2022-02-23,MON,500100
2022-02-24,MON,2100
2022-02-25,MON,0
2022-02-28,MON,15000
2022-03-01,MON,2000
2022-03-02,MON,12200
2022-03-03,MON,14400
2022-03-04,MON,2700
2022-03-07,MON,500
2022-03-08,MON,0
2022-03-09,MON,2000
2022-03-10,MON,1100
2022-03-11,MON,1900
2022-03-14,MON,45500
2022-03-15,MON,0
2022-03-16,MON,2200
2022-03-17,MON,800
2022-03-18,MON,11300
2022-03-21,MON,14500
2022-03-22,MON,0
2022-03-23,MON,22600
2022-03-24,MON,4000
2022-03-25,MON,300
2022-03-28,MON,500
2022-03-29,MON,100
2022-03-30,MON,21100
2022-03-31,MON,28000
2022-01-03,MOS,3798400
2022-01-04,MOS,4046400
2022-01-05,MOS,4815700
2022-01-06,MOS,3970000
2022-01-07,MOS,3934600
2022-01-10,MOS,4832000
2022-01-11,MOS,5029800
2022-01-12,MOS,8511800
2022-01-13,MOS,4313700
2022-01-14,MOS,6419400
2022-01-18,MOS,5102100
2022-01-19,MOS,4603200
2022-01-20,MOS,4546000
2022-01-21,MOS,5003000
2022-01-24,MOS,7804700
2022-01-25,MOS,5242700
2022-01-26,MOS,6066000
2022-01-27,MOS,4776900
2022-01-28,MOS,3942000
2022-01-31,MOS,4131100
2022-02-01,MOS,10038200
2022-02-02,MOS,7441200
2022-02-03,MOS,5825000
2022-02-04,MOS,6820600
2022-02-07,MOS,6761400
2022-02-08,MOS,7347900
2022-02-09,MOS,7368200
2022-02-10,MOS,7677500
2022-02-11,MOS,9591400
2022-02-14,MOS,7984700
2022-02-15,MOS,6181000
2022-02-16,MOS,5582000
2022-02-17,MOS,5765200
2022-02-18,MOS,4823100
2022-02-22,MOS,7738900
2022-02-23,MOS,9786700
2022-02-24,MOS,10706300
2022-02-25,MOS,12150300
2022-02-28,MOS,15683200
2022-03-01,MOS,11324100
2022-03-02,MOS,12305100
2022-03-03,MOS,13376500
2022-03-04,MOS,17991000
2022-03-07,MOS,24638900
2022-03-08,MOS,17925200
2022-03-09,MOS,15112000
2022-03-10,MOS,18388500
2022-03-11,MOS,13855200
2022-03-14,MOS,11773900
2022-03-15,MOS,10955100
2022-03-16,MOS,13659200
2022-03-17,MOS,11637100
2022-03-18,MOS,16045600
2022-03-21,MOS,14430100
2022-03-22,MOS,10715400
2022-03-23,MOS,8854500
2022-03-24,MOS,10348100
2022-03-25,MOS,8666300
2022-03-28,MOS,9185200
2022-03-29,MOS,14888900
2022-03-30,MOS,6604400
2022-03-31,MOS,7969900
